INFO   08:34:46 : Id:315180539618; 频点:492080012Hz; 功率:16.20dbm; 时钟周期:999982.8330us; 发送电流:61.19mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:36:02 : Id:315180539625; 频点:492079994Hz; 功率:16.30dbm; 时钟周期:1000000.3330us; 发送电流:60.89mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:15 : Id:315180539617; 频点:492079881Hz; 功率:16.30dbm; 时钟周期:1000001.7330us; 发送电流:61.29mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:41 : Id:315180539616; 频点:492079896Hz; 功率:15.40dbm; 时钟周期:1000001.7330us; 发送电流:65.85mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:52 : Id:315180539582; 频点:492080020Hz; 功率:16.10dbm; 时钟周期:1000002.1330us; 发送电流:61.12mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:04 : Id:315180539643; 频点:492079998Hz; 功率:16.40dbm; 时钟周期:1000001.6660us; 发送电流:61.40mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:15 : Id:315180539623; 频点:492079895Hz; 功率:16.20dbm; 时钟周期:1000000.8000us; 发送电流:60.75mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:39 : Id:315180539596; 频点:492079916Hz; 功率:16.13dbm; 时钟周期:1000000.9660us; 发送电流:61.92mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:51 : Id:315180539650; 频点:492080000Hz; 功率:15.90dbm; 时钟周期:1000000.9330us; 发送电流:61.04mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:03 : Id:315180539612; 频点:492080001Hz; 功率:16.30dbm; 时钟周期:1000001.3000us; 发送电流:61.47mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:14 : Id:315180539748; 频点:492079958Hz; 功率:16.30dbm; 时钟周期:1000002.1330us; 发送电流:61.06mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:26 : Id:315180539628; 频点:492080038Hz; 功率:16.27dbm; 时钟周期:1000000.7330us; 发送电流:61.43mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:38 : Id:315180539575; 频点:492080016Hz; 功率:15.90dbm; 时钟周期:1000001.7660us; 发送电流:62.94mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:49 : Id:315180539698; 频点:492080058Hz; 功率:16.10dbm; 时钟周期:1000001.0330us; 发送电流:61.02mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:02 : Id:315180539708; 频点:492079999Hz; 功率:16.23dbm; 时钟周期:1000001.7330us; 发送电流:61.36mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:16 : Id:315180539703; 频点:492079953Hz; 功率:16.47dbm; 时钟周期:1000001.4330us; 发送电流:62.08mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
