INFO   08:47:39 : Id:315180531636; 频点:492079927Hz; 功率:15.30dbm; 时钟周期:1000001.0660us; 发送电流:64.81mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:50 : Id:315180531673; 频点:492079979Hz; 功率:13.07dbm; 时钟周期:1000001.5000us; 发送电流:65.18mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:48:13 : Id:315180531673; 频点:492079982Hz; 功率:15.00dbm; 时钟周期:1000001.5000us; 发送电流:65.70mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:24 : Id:315180531590; 频点:492079961Hz; 功率:15.43dbm; 时钟周期:1000001.5330us; 发送电流:63.03mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:37 : Id:315180531630; 频点:492079928Hz; 功率:16.00dbm; 时钟周期:1000001.5660us; 发送电流:63.06mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:48 : Id:315180531657; 频点:492079930Hz; 功率:13.60dbm; 时钟周期:1000001.5660us; 发送电流:64.17mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:48:58 : Id:315180531657; 频点:492079932Hz; 功率:16.10dbm; 时钟周期:1000001.6000us; 发送电流:61.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:09 : Id:315180531632; 频点:492080018Hz; 功率:16.10dbm; 时钟周期:1000002.0660us; 发送电流:62.76mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:21 : Id:315180531586; 频点:492079981Hz; 功率:16.30dbm; 时钟周期:1000001.6000us; 发送电流:61.76mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:31 : Id:315180531628; 频点:492079955Hz; 功率:15.90dbm; 时钟周期:1000002.1660us; 发送电流:63.42mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:52 : Id:315180531675; 频点:492079887Hz; 功率:16.30dbm; 时钟周期:1000001.2000us; 发送电流:62.50mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:02 : Id:315180531755; 频点:492079889Hz; 功率:14.70dbm; 时钟周期:1000002.6330us; 发送电流:66.39mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:50:20 : Id:315180531677; 频点:492079889Hz; 功率:16.30dbm; 时钟周期:1000002.6330us; 发送电流:61.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:31 : Id:315180531677; 频点:492079950Hz; 功率:9.40dbm; 时钟周期:1000001.3660us; 发送电流:64.35mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:50:46 : Id:315180531677; 频点:492079955Hz; 功率:15.80dbm; 时钟周期:1000001.6660us; 发送电流:62.24mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:59 : Id:315180531768; 频点:492080016Hz; 功率:15.50dbm; 时钟周期:1000001.8330us; 发送电流:63.10mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:14 : Id:315180531759; 频点:492079965Hz; 功率:14.30dbm; 时钟周期:1000001.7000us; 发送电流:59.78mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:51:26 : Id:315180531759; 频点:492079967Hz; 功率:14.37dbm; 时钟周期:1000001.7660us; 发送电流:59.65mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:51:39 : Id:315180531759; 频点:492079967Hz; 功率:14.20dbm; 时钟周期:1000001.7330us; 发送电流:58.85mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:51:50 : Id:315180531759; 频点:492079968Hz; 功率:16.07dbm; 时钟周期:1000001.7330us; 发送电流:60.49mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:01 : Id:315180531674; 频点:492080018Hz; 功率:13.77dbm; 时钟周期:1000000.3660us; 发送电流:62.89mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:52:11 : Id:315180531674; 频点:492080018Hz; 功率:15.67dbm; 时钟周期:1000000.5000us; 发送电流:63.26mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:22 : Id:315180531654; 频点:492079941Hz; 功率:15.13dbm; 时钟周期:1000000.5330us; 发送电流:64.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:33 : Id:315180531682; 频点:492079929Hz; 功率:14.67dbm; 时钟周期:1000001.7660us; 发送电流:65.96mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:52:45 : Id:315180531682; 频点:492079931Hz; 功率:16.20dbm; 时钟周期:1000001.9330us; 发送电流:61.93mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:56 : Id:315180531715; 频点:492079997Hz; 功率:15.63dbm; 时钟周期:1000001.4330us; 发送电流:65.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:07 : Id:315180531655; 频点:492079892Hz; 功率:13.70dbm; 时钟周期:1000001.5330us; 发送电流:63.94mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:53:19 : Id:315180531655; 频点:492079893Hz; 功率:15.80dbm; 时钟周期:1000001.7000us; 发送电流:62.12mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:42 : Id:315180531648; 频点:492079962Hz; 功率:16.07dbm; 时钟周期:1000002.1330us; 发送电流:66.70mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:53 : Id:315180531676; 频点:492079973Hz; 功率:16.00dbm; 时钟周期:1000001.7660us; 发送电流:61.16mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
