INFO   08:32:15 : Id:315180535958; 频点:492079978Hz; 功率:16.40dbm; 时钟周期:999999.6000us; 发送电流:62.71mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:32:26 : Id:315180535928; 频点:492080019Hz; 功率:15.83dbm; 时钟周期:1000001.3330us; 发送电流:61.67mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:32:38 : Id:315180535676; 频点:492079948Hz; 功率:16.20dbm; 时钟周期:1000001.7660us; 发送电流:61.51mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:32:50 : Id:315180535620; 频点:492080015Hz; 功率:16.20dbm; 时钟周期:1000001.0660us; 发送电流:61.67mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:00 : Id:315180535660; 频点:492079983Hz; 功率:16.00dbm; 时钟周期:1000001.9330us; 发送电流:60.72mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:23 : Id:315180535637; 频点:492079894Hz; 功率:16.37dbm; 时钟周期:1000001.7000us; 发送电流:62.07mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:33 : Id:315180535482; 频点:492079983Hz; 功率:16.10dbm; 时钟周期:1000001.6000us; 发送电流:61.74mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:45 : Id:315180535642; 频点:492079886Hz; 功率:16.20dbm; 时钟周期:1000000.9000us; 发送电流:60.43mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:33:56 : Id:315180535483; 频点:492079906Hz; 功率:16.40dbm; 时钟周期:1000001.9000us; 发送电流:61.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:19 : Id:315180535625; 频点:492079965Hz; 功率:16.30dbm; 时钟周期:1000001.8660us; 发送电流:62.05mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:29 : Id:315180535631; 频点:492079975Hz; 功率:16.30dbm; 时钟周期:1000001.6000us; 发送电流:60.36mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:34:40 : Id:315180535445; 频点:492079939Hz; 功率:16.00dbm; 时钟周期:1000002.0660us; 发送电流:61.36mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:03 : Id:315180535526; 频点:492080028Hz; 功率:16.33dbm; 时钟周期:1000001.6000us; 发送电流:62.11mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:15 : Id:315180535547; 频点:492079946Hz; 功率:16.20dbm; 时钟周期:1000001.6330us; 发送电流:61.16mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:28 : Id:315180535495; 频点:492079924Hz; 功率:16.20dbm; 时钟周期:1000001.5660us; 发送电流:61.54mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:40 : Id:315180535462; 频点:492079878Hz; 功率:16.10dbm; 时钟周期:1000001.7000us; 发送电流:61.39mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:51 : Id:315180535609; 频点:492079956Hz; 功率:16.37dbm; 时钟周期:1000001.0660us; 发送电流:62.32mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:02 : Id:315180535645; 频点:492079980Hz; 功率:16.10dbm; 时钟周期:1000000.1000us; 发送电流:60.84mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:13 : Id:315180535446; 频点:492080018Hz; 功率:16.20dbm; 时钟周期:1000001.8000us; 发送电流:61.02mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:25 : Id:315180535619; 频点:492079968Hz; 功率:16.30dbm; 时钟周期:1000000.3000us; 发送电流:62.49mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:36 : Id:315180535592; 频点:492079947Hz; 功率:16.30dbm; 时钟周期:1000000.4000us; 发送电流:60.31mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:46 : Id:315180535469; 频点:492079909Hz; 功率:16.20dbm; 时钟周期:1000001.5330us; 发送电流:60.57mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:13 : Id:315180535478; 频点:492080000Hz; 功率:16.30dbm; 时钟周期:1000001.2660us; 发送电流:61.33mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:27 : Id:315180535481; 频点:492079959Hz; 功率:16.27dbm; 时钟周期:1000001.3660us; 发送电流:61.40mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:38 : Id:315180535494; 频点:492079918Hz; 功率:16.27dbm; 时钟周期:1000000.9000us; 发送电流:61.43mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:37:48 : Id:315180535618; 频点:492079970Hz; 功率:16.30dbm; 时钟周期:1000000.3660us; 发送电流:62.09mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:00 : Id:315180535608; 频点:492079944Hz; 功率:16.30dbm; 时钟周期:1000001.5660us; 发送电流:62.43mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:10 : Id:315180535641; 频点:492079976Hz; 功率:16.20dbm; 时钟周期:1000000.3330us; 发送电流:61.02mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:22 : Id:315180535450; 频点:492079930Hz; 功率:16.30dbm; 时钟周期:1000001.7330us; 发送电流:61.90mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:33 : Id:315180535611; 频点:492079869Hz; 功率:16.33dbm; 时钟周期:1000000.9330us; 发送电流:61.89mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:43 : Id:315180535590; 频点:492079961Hz; 功率:16.27dbm; 时钟周期:1000000.4330us; 发送电流:60.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:53 : Id:315180535655; 频点:492080052Hz; 功率:16.30dbm; 时钟周期:1000002.1000us; 发送电流:61.46mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:04 : Id:315180535475; 频点:492079984Hz; 功率:15.80dbm; 时钟周期:1000001.2000us; 发送电流:62.41mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:15 : Id:315180535616; 频点:492079892Hz; 功率:15.90dbm; 时钟周期:1000000.9660us; 发送电流:63.95mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:39:26 : Id:315180535622; 频点:492079972Hz; 功率:16.10dbm; 时钟周期:1000002.2000us; 发送电流:62.43mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
