INFO   08:50:15 : Id:315180540468; 频点:492080011Hz; 功率:14.17dbm; 时钟周期:1000002.1000us; 发送电流:64.88mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:50:35 : Id:315180540468; 频点:492080006Hz; 功率:16.10dbm; 时钟周期:1000002.1000us; 发送电流:68.01mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:47 : Id:315180540417; 频点:492079984Hz; 功率:16.10dbm; 时钟周期:1000001.2660us; 发送电流:61.31mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:00 : Id:315180540508; 频点:492080009Hz; 功率:15.93dbm; 时钟周期:1000002.4000us; 发送电流:61.28mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:14 : Id:315180540456; 频点:492080052Hz; 功率:16.00dbm; 时钟周期:1000001.4660us; 发送电流:61.14mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:24 : Id:315180540507; 频点:492079861Hz; 功率:15.83dbm; 时钟周期:1000001.5330us; 发送电流:60.80mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:36 : Id:315180540486; 频点:492079972Hz; 功率:16.00dbm; 时钟周期:1000002.7000us; 发送电流:61.51mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:47 : Id:315180540524; 频点:492079955Hz; 功率:16.10dbm; 时钟周期:1000001.5660us; 发送电流:61.89mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:52:59 : Id:315180540455; 频点:492079968Hz; 功率:16.00dbm; 时钟周期:1000001.6000us; 发送电流:60.47mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:10 : Id:315180540493; 频点:492080026Hz; 功率:16.10dbm; 时钟周期:1000001.1660us; 发送电流:62.35mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:22 : Id:315180540461; 频点:492079872Hz; 功率:15.67dbm; 时钟周期:1000001.4330us; 发送电流:60.62mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:35 : Id:315180540595; 频点:492080051Hz; 功率:16.20dbm; 时钟周期:1000001.6000us; 发送电流:61.99mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:45 : Id:315180540645; 频点:492080015Hz; 功率:16.00dbm; 时钟周期:1000002.3000us; 发送电流:60.27mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:53:56 : Id:315180540505; 频点:492080022Hz; 功率:15.70dbm; 时钟周期:1000002.0660us; 发送电流:62.07mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:06 : Id:315180540466; 频点:492079929Hz; 功率:15.80dbm; 时钟周期:1000001.4660us; 发送电流:63.33mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:19 : Id:315180540509; 频点:492079968Hz; 功率:16.00dbm; 时钟周期:1000001.4000us; 发送电流:60.61mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:33 : Id:315180540439; 频点:492079954Hz; 功率:15.77dbm; 时钟周期:1000001.8660us; 发送电流:62.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:44 : Id:315180540515; 频点:492079983Hz; 功率:15.90dbm; 时钟周期:1000001.1660us; 发送电流:62.23mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:54:55 : Id:315180540490; 频点:492080024Hz; 功率:15.77dbm; 时钟周期:1000000.1000us; 发送电流:63.47mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:05 : Id:315180540525; 频点:492079989Hz; 功率:16.07dbm; 时钟周期:1000000.9660us; 发送电流:60.15mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:16 : Id:315180540726; 频点:492079962Hz; 功率:16.10dbm; 时钟周期:1000000.8660us; 发送电流:62.50mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:26 : Id:315180540630; 频点:492080067Hz; 功率:15.87dbm; 时钟周期:1000000.8330us; 发送电流:61.11mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:37 : Id:315180540510; 频点:492080045Hz; 功率:16.00dbm; 时钟周期:1000001.2000us; 发送电流:60.92mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:48 : Id:315180540495; 频点:492080028Hz; 功率:15.70dbm; 时钟周期:1000000.6660us; 发送电流:60.62mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:55:59 : Id:315180540639; 频点:492079925Hz; 功率:16.40dbm; 时钟周期:1000001.0000us; 发送电流:61.95mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:11 : Id:315180540641; 频点:492080007Hz; 功率:15.87dbm; 时钟周期:1000001.4330us; 发送电流:61.28mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:22 : Id:315180540517; 频点:492080070Hz; 功率:16.10dbm; 时钟周期:1000001.6000us; 发送电流:60.11mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:33 : Id:315180540512; 频点:492079967Hz; 功率:16.00dbm; 时钟周期:1000002.3330us; 发送电流:59.99mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:44 : Id:315180540451; 频点:492080036Hz; 功率:16.20dbm; 时钟周期:1000001.6000us; 发送电流:61.05mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:56:55 : Id:315180540530; 频点:492079983Hz; 功率:16.00dbm; 时钟周期:1000001.9330us; 发送电流:60.35mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
