INFO   08:39:54 : Id:315180533392; 频点:492079989Hz; 功率:16.40dbm; 时钟周期:1000001.5000us; 发送电流:62.35mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:05 : Id:315180533307; 频点:492079950Hz; 功率:16.00dbm; 时钟周期:1000001.6330us; 发送电流:60.33mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:16 : Id:315180533350; 频点:492079911Hz; 功率:16.30dbm; 时钟周期:1000001.2660us; 发送电流:61.83mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:29 : Id:315180533304; 频点:492079896Hz; 功率:16.20dbm; 时钟周期:1000002.0660us; 发送电流:61.51mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:39 : Id:315180533225; 频点:492080029Hz; 功率:16.30dbm; 时钟周期:1000001.1660us; 发送电流:61.97mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:40:57 : Id:315180533465; 频点:492079986Hz; 功率:16.10dbm; 时钟周期:1000001.3330us; 发送电流:61.18mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:14 : Id:315180533396; 频点:492080051Hz; 功率:16.30dbm; 时钟周期:1000001.0330us; 发送电流:62.89mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:32 : Id:315180533188; 频点:492079982Hz; 功率:16.20dbm; 时钟周期:1000001.6330us; 发送电流:60.65mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:43 : Id:315180533212; 频点:492079881Hz; 功率:16.20dbm; 时钟周期:1000001.6330us; 发送电流:61.07mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:41:53 : Id:315180533193; 频点:492079928Hz; 功率:16.40dbm; 时钟周期:1000001.4330us; 发送电流:62.17mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:05 : Id:315180533305; 频点:492079921Hz; 功率:16.00dbm; 时钟周期:1000000.9330us; 发送电流:61.32mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:16 : Id:315180533347; 频点:492080048Hz; 功率:16.40dbm; 时钟周期:1000002.1000us; 发送电流:61.05mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:27 : Id:315180533301; 频点:492079917Hz; 功率:16.20dbm; 时钟周期:1000001.2330us; 发送电流:61.44mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:42:46 : Id:315180533443; 频点:492080014Hz; 功率:16.00dbm; 时钟周期:1000001.4000us; 发送电流:62.00mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
