INFO   08:46:31 : Id:315180530062; 频点:492079994Hz; 功率:16.20dbm; 时钟周期:1000001.5330us; 发送电流:60.83mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:42 : Id:315180530181; 频点:492079921Hz; 功率:16.40dbm; 时钟周期:1000001.1330us; 发送电流:61.40mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:46:52 : Id:315180530060; 频点:492079972Hz; 功率:17.07dbm; 时钟周期:1000001.1330us; 发送电流:64.91mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:03 : Id:315180530093; 频点:492079983Hz; 功率:16.10dbm; 时钟周期:1000001.9000us; 发送电流:60.71mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:15 : Id:315180530084; 频点:492079895Hz; 功率:13.63dbm; 时钟周期:1000001.6000us; 发送电流:63.03mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:47:26 : Id:315180530084; 频点:492079899Hz; 功率:16.17dbm; 时钟周期:1000001.8000us; 发送电流:61.02mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:37 : Id:315180530185; 频点:492079960Hz; 功率:16.40dbm; 时钟周期:1000001.7330us; 发送电流:61.42mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:47 : Id:315180530098; 频点:492079888Hz; 功率:16.20dbm; 时钟周期:1000001.1660us; 发送电流:60.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:13 : Id:315180530051; 频点:492079946Hz; 功率:16.20dbm; 时钟周期:1000001.9330us; 发送电流:61.47mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:24 : Id:315180530187; 频点:492079883Hz; 功率:16.20dbm; 时钟周期:1000001.1660us; 发送电流:60.57mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:34 : Id:315180530188; 频点:492079954Hz; 功率:15.70dbm; 时钟周期:1000001.4330us; 发送电流:59.94mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:46 : Id:315180530113; 频点:492079981Hz; 功率:16.50dbm; 时钟周期:1000002.0330us; 发送电流:60.77mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:07 : Id:315180530080; 频点:492079894Hz; 功率:16.20dbm; 时钟周期:1000002.0330us; 发送电流:60.61mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:19 : Id:315180530049; 频点:492079974Hz; 功率:16.10dbm; 时钟周期:1000001.7660us; 发送电流:61.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:29 : Id:315180530135; 频点:492079897Hz; 功率:16.07dbm; 时钟周期:1000001.6330us; 发送电流:61.05mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:40 : Id:315180530178; 频点:492079900Hz; 功率:15.97dbm; 时钟周期:1000001.5660us; 发送电流:61.13mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:51 : Id:315180530043; 频点:492079891Hz; 功率:16.30dbm; 时钟周期:1000001.0330us; 发送电流:61.21mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
