INFO   08:34:48 : Id:315180514416; 频点:492080065Hz; 功率:15.50dbm; 时钟周期:1000001.8330us; 发送电流:65.33mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:00 : Id:315180514729; 频点:492079845Hz; 功率:14.83dbm; 时钟周期:1000001.2000us; 发送电流:61.16mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:35:11 : Id:315180514714; 频点:492079992Hz; 功率:16.20dbm; 时钟周期:1000001.2000us; 发送电流:61.36mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:22 : Id:315180514404; 频点:492079975Hz; 功率:15.87dbm; 时钟周期:1000001.8660us; 发送电流:60.28mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:34 : Id:315180514713; 频点:492079921Hz; 功率:15.63dbm; 时钟周期:999908.4660us; 发送电流:60.36mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:35:44 : Id:315180514713; 频点:492079921Hz; 功率:16.20dbm; 时钟周期:1000000.6660us; 发送电流:60.26mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:35:54 : Id:315180514398; 频点:492080060Hz; 功率:16.07dbm; 时钟周期:1000001.3000us; 发送电流:61.32mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:05 : Id:315180514334; 频点:492079941Hz; 功率:15.97dbm; 时钟周期:1000000.9660us; 发送电流:59.86mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:36:24 : Id:315180514719; 频点:492080006Hz; 功率:15.50dbm; 时钟周期:1000000.6330us; 发送电流:58.50mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:05 : Id:315180514373; 频点:492079992Hz; 功率:15.90dbm; 时钟周期:1000001.0330us; 发送电流:59.19mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:16 : Id:315180514422; 频点:492079940Hz; 功率:15.90dbm; 时钟周期:1000001.3000us; 发送电流:59.21mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:38:38 : Id:315180514793; 频点:492079984Hz; 功率:14.63dbm; 时钟周期:1000001.8000us; 发送电流:57.18mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
