INFO   08:47:07 : Id:315180537738; 频点:492079985Hz; 功率:15.90dbm; 时钟周期:1000001.6330us; 发送电流:61.75mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:47:21 : Id:315180537771; 频点:492080054Hz; 功率:-4.70dbm; 时钟周期:0.0000us; 发送电流:35.15mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:47:38 : Id:315180537771; 频点:492080063Hz; 功率:15.33dbm; 时钟周期:1000000.2660us; 发送电流:62.42mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:02 : Id:315180537758; 频点:492080027Hz; 功率:-12.90dbm; 时钟周期:1000001.5330us; 发送电流:58.35mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:48:19 : Id:315180537758; 频点:492080051Hz; 功率:16.10dbm; 时钟周期:1000001.6660us; 发送电流:61.78mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:36 : Id:315180537353; 频点:492080014Hz; 功率:15.80dbm; 时钟周期:1000001.6660us; 发送电流:61.13mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:48:52 : Id:315180537926; 频点:492080014Hz; 功率:15.87dbm; 时钟周期:1000001.3000us; 发送电流:62.69mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:07 : Id:315180537741; 频点:492079940Hz; 功率:15.90dbm; 时钟周期:1000001.6660us; 发送电流:61.70mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:22 : Id:315180537793; 频点:492079996Hz; 功率:6.67dbm; 时钟周期:1000001.3000us; 发送电流:61.16mA; 休眠电流:0.00uA; 测试结果:失败; 上传结果:失败 上传功能未开启
INFO   08:49:36 : Id:315180537793; 频点:492079999Hz; 功率:16.10dbm; 时钟周期:1000001.3000us; 发送电流:61.24mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:49:51 : Id:315180537361; 频点:492079948Hz; 功率:16.20dbm; 时钟周期:1000001.2000us; 发送电流:61.79mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:06 : Id:315180537902; 频点:492079999Hz; 功率:16.00dbm; 时钟周期:1000001.6330us; 发送电流:61.17mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:24 : Id:315180537912; 频点:492079952Hz; 功率:16.10dbm; 时钟周期:1000001.6660us; 发送电流:61.27mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:50:43 : Id:315180537757; 频点:492079919Hz; 功率:15.80dbm; 时钟周期:1000001.6000us; 发送电流:66.87mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:01 : Id:315180537768; 频点:492079938Hz; 功率:16.00dbm; 时钟周期:1000002.0660us; 发送电流:62.12mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
INFO   08:51:21 : Id:315180537342; 频点:492080032Hz; 功率:16.10dbm; 时钟周期:1000001.8660us; 发送电流:61.51mA; 休眠电流:0.00uA; 测试结果:成功; 上传结果:失败 上传功能未开启
